name,cost_center,ccs,address,city,latitude,longitude,franchise,store_brand,display_brand,op_status,division_name,distance,country,url,services,franchise_brand
404,404,1,1023 Wellington Street,OTTAWA,45.4047842,-75.723925,0,Circle K,Circle K,Open,ontario,1.991161176837779,Canada,/store-ontario/Canada/ottawa/1023-wellington-street/404,"atm, coffee, polar_pop, froster",NA
610,610,0,51 BOUL. FOURNIER,GATINEAU,45.4463463,-75.7130504,0,Couche-Tard,Couche-Tard,Open,quebec,2.0775871907042087,CA,/store-locator/CA/gatineau/51-boul-fournier/610,"diesel, public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA
1817,1817,1,395 Montreal Road,OTTAWA,45.4390492,-75.6540399,0,MACS,Mac's,Open,ontario,2.1437765512090667,Canada,/store-ontario/Canada/ottawa/395-montreal-road/1817,"gas, atm, coffee, polar_pop, froster",NA
454,454,1,437 St. Laurent Blvd.,OTTAWA,45.4473684,-75.6498646,0,Circle K,Circle K,Open,ontario,2.665715271002204,Canada,/store-ontario/Canada/ottawa/437-st-laurent-blvd/454,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
1098,1098,0,480 BOUL. ST-JOSEPH,GATINEAU,45.4464211,-75.7323619,0,Couche-Tard,Couche-Tard,Open,quebec,2.7025264323014446,CA,/store-locator/CA/gatineau/480-boul-st-joseph/1098,"car_wash, diesel, public_restrooms, roller_grill, ca_coffee",NA
219,219,1,"598 Montreal Road,",OTTAWA,45.4421259,-75.6429469,0,Circle K,Circle K,Open,ontario,2.708461177130521,Canada,/store-ontario/Canada/ottawa/598-montreal-road/219,"atm, coffee, polar_pop, froster",NA
52384,52384,1,1600 Bank ST,OTTAWA,45.3777288,-75.6675807,0,Circle K,Circle K,Open,ontario,3.1819218678615795,Canada,/store-ontario/Canada/ottawa/1600-bank-st/52384,"car_wash, gas, diesel, atm, redbull_shop",NA
616,616,0,265 BOUL. SAINT-RAYMOND,GATINEAU,45.4269774,-75.7611743,0,Couche-Tard,Couche-Tard,Open,quebec,3.4764689895772958,CA,/store-locator/CA/gatineau/265-boul-saint-raymond/616,"public_restrooms, atm, roller_grill, sloche, ca_coffee",NA
1279,1279,1,256 Richmond Rd.,OTTAWA,45.393417,-75.750335,0,Circle K,Circle K,Open,ontario,3.493615144057951,Canada,/store-ontario/Canada/ottawa/256-richmond-rd/1279,"gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
68048,68048,1,"1025 Merivale Rd.,",OTTAWA,45.378943,-75.7328951,0,MACS,Mac's,Open,ontario,3.575031532963693,Canada,/store-ontario/Canada/ottawa/1025-merivale-rd/68048,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
1389,1389,1,"2213 Arch St.,",OTTAWA,45.3895238,-75.6304321,0,Circle K,Circle K,Open,ontario,3.6177021295118696,Canada,/store-ontario/Canada/ottawa/2213-arch-st/1389,"atm, coffee, polar_pop, froster, roller_grill",NA
822,822,1,"780 Baseline Rd.,",OTTAWA,45.3705807,-75.7172098,0,Circle K,Circle K,Open,ontario,3.7259877892960884,Canada,/store-ontario/Canada/ottawa/780-baseline-rd/822,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
487,487,1,1420 Walkley Road,OTTAWA,45.3734543,-75.6535618,0,Circle K,Circle K,Open,ontario,3.7313284990393796,Canada,/store-ontario/Canada/ottawa/1420-walkley-road/487,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
68037,68037,1,"888 Meadowlands Dr. E.,",OTTAWA,45.3673081,-75.7014928,0,MACS,Mac's,Open,ontario,3.7518330484625952,Canada,/store-ontario/Canada/ottawa/888-meadowlands-dr-e/68037,"coffee, polar_pop, froster, redbull_shop",NA
52723,52723,1,1970 Walkley RD,OTTAWA,45.3829911,-75.6307413,0,Circle K,Circle K,Open,ontario,3.8949394817455936,Canada,/store-ontario/Canada/ottawa/1970-walkley-rd/52723,"EU_ROUTEX_ATLAS, EU_TRUCKDIESEL_NETWORK, car_wash, gas, diesel, atm, redbull_shop",NA
1225,1225,0,"320, BOULEVARD GREBER",GATINEAU,45.4777091,-75.7014885,0,Couche-Tard,Couche-Tard,Open,quebec,3.9579416959347706,CA,/store-locator/CA/gatineau/320-boulevard-greber/1225,"car_wash, diesel, public_restrooms, atm, redbull_shop, ca_coffee",NA
612,612,0,9 RUE DANIEL-JOHNSON,GATINEAU,45.4625748,-75.7475764,0,Couche-Tard,Couche-Tard,Open,quebec,4.005068403912596,CA,/store-locator/CA/gatineau/9-rue-daniel-johnson/612,"public_restrooms, atm, roller_grill, sloche, ca_coffee",NA
52557,52557,1,1494 Innes RD,GLOUCESTER,45.4146989,-75.6045069,0,Circle K,Circle K,Open,ontario,4.169980571072753,Canada,/store-ontario/Canada/gloucester/1494-innes-rd/52557,"car_wash, gas, diesel, atm",NA
608,608,0,4 RUE D'ORLÉANS,GATINEAU,45.4811876,-75.7009465,0,Couche-Tard,Couche-Tard,Open,quebec,4.192645471094858,CA,/store-locator/CA/gatineau/4-rue-d-orleans/608,"public_restrooms, atm, roller_grill, redbull_shop, ca_coffee",NA
609,609,0,35 RUE DU BARRY,GATINEAU,45.4810679,-75.7052333,0,Couche-Tard,Couche-Tard,Open,quebec,4.2158048804546215,CA,/store-locator/CA/gatineau/35-rue-du-barry/609,"public_restrooms, atm, roller_grill, sloche, ca_coffee",NA
68014,68014,1,"2063 Meadowbrook Rd.,",GLOUCESTER,45.427358,-75.6013072,0,Circle K,Circle K,Open,ontario,4.323815117141726,Canada,/store-ontario/Canada/gloucester/2063-meadowbrook-rd/68014,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
52428,52428,1,"1859 Carling Ave.,",OTTAWA,45.376346,-75.757319,0,Circle K,Circle K,Open,ontario,4.494370161204896,Canada,/store-ontario/Canada/ottawa/1859-carling-ave/52428,"car_wash, gas, atm, coffee",NA
1017,1017,0,476 RUE GRAVELINE,GATINEAU,45.486378,-75.6687119,0,Couche-Tard,Couche-Tard,Open,quebec,4.633851430180432,CA,/store-locator/CA/gatineau/476-rue-graveline/1017,"public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA
601,601,0,882 BOUL. SAINT-RENÉ OUEST,GATINEAU,45.4892103,-75.6893638,0,Couche-Tard,Couche-Tard,Open,quebec,4.713432497959423,CA,/store-locator/CA/gatineau/882-boul-saint-rene-ouest/601,"car_wash, diesel, public_restrooms, atm, roller_grill, ca_coffee",NA
604,604,0,585 BOUL. DES GRIVES,GATINEAU,45.4435358,-75.7859961,0,Couche-Tard,Couche-Tard,Open,quebec,4.907896412381123,CA,/store-locator/CA/gatineau/585-boul-des-grives/604,"diesel, public_restrooms, atm, roller_grill, redbull_shop, ca_coffee",NA
602,602,0,245 RUE DE CANNES,GATINEAU,45.4894734,-75.7235629,0,Couche-Tard,Couche-Tard,Open,quebec,5.003089878859898,CA,/store-locator/CA/gatineau/245-rue-de-cannes/602,"public_restrooms, roller_grill, sloche, redbull_shop, ca_coffee",NA
1227,1227,0,"410, BOUL. MALONEY EST",GATINEAU,45.4842196,-75.6392184,0,Couche-Tard,Couche-Tard,Open,quebec,5.013661581384554,CA,/store-locator/CA/gatineau/410-boul-maloney-est/1227,"diesel, public_restrooms, atm, ca_coffee",NA
52625,52625,1,2075 Montreal RD,OTTAWA,45.4480174,-75.5939265,0,Circle K,Circle K,Open,ontario,5.017900490532089,Canada,/store-ontario/Canada/ottawa/2075-montreal-rd/52625,"gas, diesel, atm, redbull_shop",NA
52527,52527,1,2100 Hunt Club RD,OTTAWA,45.3640885,-75.6201797,0,Circle K,Circle K,Open,ontario,5.192010250583862,Canada,/store-ontario/Canada/ottawa/2100-hunt-club-rd/52527,"car_wash, gas, atm",NA
